Name,Reference
alt.,[RFC9476]
6tisch.arpa.,[RFC9031]
eap.arpa.,[RFC-ietf-emu-eap-arpa-10]
eap-noob.arpa. (DEPRECATED),[RFC9140][RFC-ietf-emu-eap-arpa-10]
home.arpa.,[RFC8375]
10.in-addr.arpa.,[RFC6761]
254.169.in-addr.arpa.,[RFC6762]
16.172.in-addr.arpa.,[RFC6761]
17.172.in-addr.arpa.,[RFC6761]
18.172.in-addr.arpa.,[RFC6761]
19.172.in-addr.arpa.,[RFC6761]
20.172.in-addr.arpa.,[RFC6761]
21.172.in-addr.arpa.,[RFC6761]
22.172.in-addr.arpa.,[RFC6761]
23.172.in-addr.arpa.,[RFC6761]
24.172.in-addr.arpa.,[RFC6761]
25.172.in-addr.arpa.,[RFC6761]
26.172.in-addr.arpa.,[RFC6761]
27.172.in-addr.arpa.,[RFC6761]
28.172.in-addr.arpa.,[RFC6761]
29.172.in-addr.arpa.,[RFC6761]
30.172.in-addr.arpa.,[RFC6761]
31.172.in-addr.arpa.,[RFC6761]
170.0.0.192.in-addr.arpa.,[RFC8880]
171.0.0.192.in-addr.arpa.,[RFC8880]
168.192.in-addr.arpa.,[RFC6761]
8.e.f.ip6.arpa.,[RFC6762]
9.e.f.ip6.arpa.,[RFC6762]
a.e.f.ip6.arpa.,[RFC6762]
b.e.f.ip6.arpa.,[RFC6762]
ipv4only.arpa.,[RFC8880]
resolver.arpa.,[RFC9462]
service.arpa.,[RFC9665]
example.,[RFC6761]
example.com.,[RFC6761]
example.net.,[RFC6761]
example.org.,[RFC6761]
invalid.,[RFC6761]
local.,[RFC6762]
localhost.,[RFC6761]
onion.,[RFC7686]
test.,[RFC6761]
